latitude,longitude,altitude,geometry,coordinates,@id,highway,indoor,level,area,lit,surface,crossing:island,footway,cycleway:right,lanes,maxspeed,name,oneway,sidewalk,smoothness,trolley_wire,trolley_wire:forward,cycleway:both,zone:maxspeed,cycleway:left,lane_markings,name:etymology:wikidata,sidewalk:both:surface,source:maxspeed,cycleway:left:oneway,oneway:bicycle,bicycle,access,check_date,construction,check_date:cycleway,sidewalk:right:surface,foot,oneway:foot,service,cycleway,maxspeed:type,motor_vehicle,note:maxspeed,parking:both,parking:both:orientation,cycleway:both:lane,lanes:backward,lanes:forward,turn:lanes:forward,layer,maxheight,tunnel,alt_name,trolley_wire:both,hgv,check_date:surface,cycleway:surface,footway:surface,segregated,bridge,maxweight:signed,shoulder,cycleway:width,bicycle:lanes,cycleway:lanes,cycleway:right:lane,old_ref,turn:lanes,vehicle:lanes,short_name,incline,sac_scale,width,cycleway:colour,sidewalk:left:surface,embedded_rails,name:etymology,wikidata,source:name:etymology,busway,oneway:psv,obstacle,ref,crossing,crossing:markings,motorcycle,separated,junction,placement,access:lanes:backward,access:lanes:forward,bus:lanes:backward,bus:lanes:forward,oneway:bus,psv:lanes:backward,psv:lanes:forward,horse,maxweight,trolley_wire:backward,lanes:psv:backward,oneway:moped,psv,traffic_calming,tactile_paving,maxheight:signed,colour,taxi,old_name,handrail,button_operated,covered,traffic_signals:vibration,visibility,loc_name,cycleway:left:lane,mtb:scale,mtb:scale:imba,mtb:scale:uphill,trail_visibility,description,wheelchair,crossing_ref,surface_survey,traffic_signals:sound,parking:left,parking:right,kerb,ramp,step_count,source:cycleway:width,access:disabled,living_street,check_date:smoothness,check_date:footway:surface,check_date:cycleway:surface,fixme,informal,crossing:signals,source,check_date:crossing,check_date:tactile_paving,check_date:traffic_signals:vibration,check_date:traffic_signals:sound,direction,panoramax
,,,Polygon,"11.3308251,44.4878858,11.3307845,44.4877852,11.3309577,44.4877497,11.3310192,44.4879021,11.330846,44.4879377,11.3308251,44.4878858",way/292181466,corridor,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3431606,44.5058154,11.343184,44.5058125,11.3431868,44.5058226,11.343207,44.5058199,11.3432042,44.5058096,11.3432371,44.5058054,11.3432398,44.5058155,11.3432607,44.5058127,11.3432581,44.5058025,11.3432899,44.5057982,11.3432925,44.5058084,11.3433115,44.5058058,11.343309,44.5057958,11.3433257,44.5057935,11.3433427,44.5057912,11.3433453,44.5058013,11.3433642,44.5057987,11.3433616,44.5057887,11.3433954,44.5057842,11.3433982,44.5057942,11.3434172,44.5057916,11.3434145,44.5057816,11.3434471,44.5057773,11.3434497,44.5057872,11.3434718,44.5057842,11.3434768,44.5058029,11.3434957,44.505873,11.3435026,44.5058984,11.3435119,44.5059329,11.343491,44.5059356,11.3434933,44.5059449,11.3434612,44.5059491,11.3434588,44.5059399,11.3434394,44.5059424,11.3434418,44.5059517,11.3434099,44.505956,11.3434075,44.5059467,11.3433883,44.5059492,11.3433907,44.5059585,11.3433713,44.505961,11.3433569,44.5059629,11.3433545,44.5059536,11.3433347,44.5059562,11.3433371,44.5059655,11.3433034,44.5059699,11.3433009,44.5059606,11.3432814,44.5059631,11.3432839,44.5059725,11.3432509,44.5059768,11.3432483,44.5059675,11.3432259,44.5059704,11.3432285,44.5059798,11.3432052,44.5059828,11.3432026,44.5059734,11.3431945,44.5059432,11.3432219,44.5059395,11.3432143,44.5059114,11.3431874,44.5059151,11.3431863,44.505911,11.3431838,44.5059019,11.3431816,44.5058935,11.3431793,44.505885,11.3431748,44.5058683,11.3431709,44.5058538,11.3431606,44.5058154",way/1173734785,pedestrian,corridor,0,yes,yes,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3411165,44.5070561,11.341091,44.50696,11.3410885,44.5069508,11.3410858,44.5069405,11.3410785,44.506913,11.3410604,44.5068449,11.3410528,44.5068163,11.3410501,44.5068061,11.3410476,44.5067968,11.3410412,44.5067728,11.3410233,44.5067054,11.3410164,44.5066793,11.3410139,44.50667,11.3410112,44.5066597,11.3410042,44.5066335,11.3409782,44.5065371,11.3409707,44.506509,11.3409681,44.5064991,11.3409657,44.5064894,11.3409582,44.5064605,11.3409316,44.5063611,11.3409224,44.5063264,11.3409196,44.5063156,11.3409172,44.5063068,11.3409116,44.5062857,11.3408938,44.5062199,11.3408853,44.5061889,11.340883,44.5061793,11.3408804,44.5061694,11.3408728,44.50614,11.3408557,44.5060736,11.3408486,44.5060476,11.3408461,44.5060379,11.3408436,44.5060281,11.3408366,44.5060023,11.3408187,44.5059365,11.3408018,44.5058725,11.340797,44.5058526,11.3408292,44.5058486,11.3408604,44.5058446,11.3408614,44.5058488,11.3408629,44.5058547,11.3408652,44.5058646,11.3408821,44.5059281,11.3408999,44.5059939,11.3409069,44.5060197,11.3409082,44.5060245,11.3409095,44.5060297,11.3409108,44.5060346,11.340912,44.5060392,11.340919,44.5060651,11.3409361,44.5061313,11.3409438,44.506161,11.3409451,44.5061656,11.3409464,44.5061708,11.3409475,44.5061755,11.3409489,44.5061806,11.3409571,44.5062111,11.3409749,44.5062771,11.3409806,44.5062981,11.3409817,44.5063023,11.3409832,44.5063078,11.3409845,44.5063127,11.3409858,44.5063176,11.340995,44.5063527,11.3410216,44.506452,11.341029,44.5064807,11.3410304,44.5064859,11.3410316,44.5064905,11.3410326,44.5064947,11.3410342,44.5065005,11.3410416,44.5065285,11.3410677,44.5066248,11.3410746,44.506651,11.3410758,44.5066552,11.3410772,44.5066607,11.3410786,44.5066658,11.3410799,44.5066707,11.3410868,44.5066966,11.3411047,44.5067642,11.3411111,44.506788,11.3411124,44.5067929,11.3411137,44.5067977,11.3411149,44.5068023,11.3411163,44.5068076,11.341124,44.5068365,11.341142,44.5069044,11.3411493,44.5069317,11.3411505,44.5069361,11.3411519,44.5069415,11.3411532,44.5069465,11.3411545,44.5069513,11.3411801,44.5070475,11.3411165,44.5070561",way/1233591943,,corridor,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3430053,44.5060286,11.3430194,44.5060826,11.3430462,44.5061846,11.3430519,44.5062059,11.3430528,44.5062094,11.3430537,44.5062128,11.3430577,44.5062278,11.3430588,44.506232,11.3430599,44.5062359,11.3430655,44.5062579,11.3430902,44.506353,11.3430959,44.5063761,11.3430968,44.5063796,11.3430978,44.5063835,11.3431017,44.5063985,11.3431026,44.506402,11.3431035,44.5064056,11.3431095,44.5064283,11.3431281,44.506499,11.3431327,44.5065166,11.3431336,44.50652,11.3431345,44.5065235,11.3431384,44.5065385,11.3431395,44.5065427,11.3431406,44.5065468,11.3431457,44.5065662,11.3431639,44.5066355,11.3431714,44.5066643,11.3431753,44.5066793,11.3431764,44.5066835,11.3431775,44.5066875,11.3432903,44.5071174,11.343322,44.5072354,11.3433301,44.5072393,11.3433387,44.5072379,11.3433422,44.5072502,11.3433467,44.5072664,11.343277,44.5072779,11.3432622,44.5072711,11.34311,44.5066878,11.3431083,44.5066814,11.3431066,44.5066752,11.3431043,44.5066662,11.3430986,44.5066442,11.3430806,44.5065752,11.3430753,44.5065552,11.3430732,44.506547,11.3430715,44.5065406,11.3430698,44.5065345,11.3430675,44.5065256,11.3430628,44.5065076,11.3430442,44.506437,11.3430383,44.5064146,11.3430363,44.5064069,11.3430345,44.5064005,11.3430329,44.5063946,11.3430304,44.5063853,11.3430245,44.5063618,11.3429998,44.5062669,11.3429941,44.5062448,11.3429919,44.5062363,11.3429901,44.5062297,11.3429885,44.5062237,11.3429861,44.5062148,11.3429806,44.5061934,11.3429538,44.5060913,11.3429455,44.5060599,11.3429396,44.506057,11.3424038,44.5061296,11.3423882,44.506121,11.3422814,44.5057147,11.3422756,44.505712,11.3419175,44.5057602,11.3419136,44.5057646,11.3420291,44.5062149,11.3420553,44.5063156,11.342061,44.506338,11.3420721,44.5063364,11.3420747,44.5063461,11.3420759,44.5063508,11.3420772,44.5063557,11.3420799,44.5063658,11.3420683,44.5063674,11.3420745,44.5063903,11.3420996,44.5064871,11.3421051,44.5065079,11.3421163,44.5065064,11.3421186,44.5065162,11.3421199,44.5065208,11.3421211,44.5065255,11.3421237,44.5065358,11.3421126,44.5065373,11.3421183,44.50656,11.3421361,44.506629,11.3421407,44.5066474,11.3421516,44.5066459,11.342154,44.5066554,11.3421552,44.5066602,11.3421564,44.5066649,11.3421591,44.5066752,11.3421483,44.5066767,11.342154,44.5066987,11.3421717,44.5067675,11.3421771,44.5067886,11.3421875,44.5067871,11.3421899,44.5067968,11.3421912,44.5068016,11.3421925,44.5068065,11.342195,44.5068166,11.3421847,44.506818,11.3422157,44.5069389,11.3422648,44.5071343,11.3423021,44.507286,11.3423127,44.507329,11.3422961,44.5073312,11.3422452,44.5073383,11.3421979,44.5071436,11.3421491,44.5069488,11.3421178,44.5068272,11.3421103,44.5068282,11.3421091,44.5068239,11.3421076,44.5068185,11.3421059,44.5068124,11.3421046,44.5068074,11.3421032,44.5068021,11.3421023,44.5067989,11.3421103,44.5067978,11.3421047,44.5067763,11.342087,44.5067076,11.3420814,44.5066859,11.3420742,44.5066869,11.3420731,44.5066826,11.3420719,44.5066779,11.3420701,44.5066714,11.3420685,44.5066655,11.3420673,44.5066611,11.3420665,44.5066576,11.3420739,44.5066566,11.3420691,44.5066379,11.3420513,44.5065688,11.3420456,44.5065465,11.3420386,44.5065475,11.3420375,44.5065433,11.3420363,44.5065384,11.3420347,44.5065322,11.3420331,44.5065261,11.3420319,44.5065215,11.342031,44.5065181,11.3420381,44.5065171,11.3420325,44.5064956,11.3420275,44.5064761,11.3420077,44.5063996,11.3420013,44.5063765,11.3419951,44.5063774,11.3419943,44.5063741,11.3419929,44.5063689,11.3419912,44.5063623,11.3419896,44.506356,11.3419883,44.506351,11.3419876,44.5063479,11.3419938,44.5063471,11.3419885,44.5063246,11.3419623,44.5062239,11.3419367,44.5061229,11.3419339,44.5061212,11.3418725,44.5061295,11.3418703,44.5061214,11.3418684,44.506114,11.3419295,44.5061056,11.3419317,44.5061036,11.3418458,44.5057699,11.3418449,44.505766,11.3418425,44.5057567,11.341839,44.5057439,11.3418363,44.5057342,11.3418351,44.5057296,11.3419298,44.5057167,11.3424043,44.5056525,11.3424097,44.5056722,11.342415,44.5056917,11.3423345,44.5057028,11.3423308,44.5057075,11.3424306,44.5060895,11.3424364,44.5060927,11.3429311,44.5060261,11.3429357,44.506022,11.3429033,44.5058983,11.3429126,44.5058893,11.3430935,44.5058649,11.3431073,44.5058629,11.3431115,44.5058776,11.3431159,44.505894,11.3431176,44.5059,11.343122,44.5059023,11.343159,44.5058968,11.3431637,44.5059142,11.3430853,44.5059253,11.3430772,44.5059217,11.3430726,44.5059061,11.3430672,44.5059035,11.3429797,44.5059159,11.3429766,44.5059197,11.3429996,44.5060076,11.3430043,44.5060098,11.3430195,44.5060078,11.3430215,44.5060155,11.3430235,44.5060232,11.3430078,44.5060255,11.3430053,44.5060286",way/1233591945,,corridor,-1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3416109,44.505686,11.3415384,44.5056955,11.341464,44.5057057,11.3414341,44.5055949,11.3414509,44.5055927,11.3414481,44.5055825,11.3414316,44.5055847,11.3414201,44.5055434,11.3414405,44.5055406,11.3414381,44.5055329,11.3414565,44.5055304,11.3414749,44.5055279,11.3414776,44.5055354,11.341503,44.5055318,11.3415009,44.5055241,11.3415191,44.5055215,11.3415406,44.5055185,11.3415428,44.5055264,11.3415653,44.5055235,11.341577,44.5055653,11.3415577,44.5055678,11.3415603,44.505578,11.3415799,44.5055754,11.3416109,44.505686",way/1233591962,pedestrian,corridor,0,yes,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3432783,44.5071552,11.3433748,44.507142,11.3433777,44.5071524,11.3433842,44.5071761,11.3433873,44.5071865,11.343509,44.5071692,11.3435337,44.5072324,11.343458,44.507247,11.3434539,44.5072329,11.3434504,44.5072212,11.3433387,44.5072379,11.3433422,44.5072502,11.3433467,44.5072664,11.343277,44.5072779,11.3431038,44.5073042,11.343102,44.5073014,11.3430808,44.5072776,11.3430746,44.5072747,11.3430124,44.5072818,11.3430088,44.507283,11.3430049,44.5072854,11.3429914,44.5073177,11.3429908,44.5073211,11.3429007,44.507334,11.3428142,44.5073453,11.342813,44.5073433,11.3427799,44.5073168,11.3427751,44.5073156,11.342771,44.5073154,11.3427043,44.5073274,11.3427,44.5073316,11.3427015,44.507356,11.3427014,44.5073579,11.3426247,44.5073662,11.3424131,44.5073883,11.3422493,44.5074017,11.3422452,44.5073383,11.3422961,44.5073312,11.3423127,44.507329,11.3423778,44.5073196,11.3423749,44.5073091,11.3423685,44.5072865,11.342366,44.5072772,11.3424148,44.5072708,11.3424272,44.5073119,11.3425197,44.5072979,11.342517,44.507289,11.3425103,44.507267,11.3425076,44.5072584,11.3427137,44.5072313,11.3427255,44.5072747,11.3427591,44.50727,11.3427473,44.5072266,11.3429022,44.507206,11.3429628,44.5071979,11.3430168,44.5071907,11.3432336,44.5071611,11.3432333,44.5071599,11.3432286,44.5071433,11.3432245,44.5071284,11.3432179,44.5071044,11.3432841,44.5070949,11.3432903,44.5071174,11.3432688,44.5071203,11.3432783,44.5071552",way/1233796544,,corridor,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3429558,44.507173,11.3429511,44.5071554,11.3429464,44.5071383,11.3430642,44.5071224,11.3430714,44.5071488,11.3432245,44.5071284,11.3432286,44.5071433,11.3432333,44.5071599,11.3432336,44.5071611,11.3430168,44.5071907,11.3430099,44.5071659,11.3429558,44.507173",way/1233796570,,corridor,0;1,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3408521,44.5073527,11.3406717,44.5073772,11.3406576,44.5073262,11.3408383,44.5073017,11.3410779,44.5072683,11.3410927,44.5073202,11.3408521,44.5073527",way/1233912886,corridor,yes,-3,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"11.3383557,44.4990021,11.338329,44.4990014,11.338292,44.4990004,11.3382821,44.4989684,11.3383178,44.4989763,11.3383587,44.4989857,11.3383618,44.4989989,11.3383557,44.4990021",way/1388040539,footway,,,yes,,sett,yes,crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3464552,44.4942091,11.3464928,44.4941803,11.3465444,44.4941483,11.3465961,44.4941241,11.3466136,44.4941159,11.346859,44.4940283,11.3470916,44.4939564,11.3473119,44.4938566,11.3476299,44.4937381,11.3477126,44.4937085,11.3479078,44.4936388",way/11480374,tertiary,,,,yes,paving_stones,,,no,1,30,Strada Maggiore,yes,left,intermediate,yes,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
